name,frame,x,y,z
1,1025,0.0,0.0,0.0
2,1025,2.0,0.0,0.0
3,1025,4.0,0.0,0.0
4,1025,6.0,0.0,0.0
5,1025,8.0,0.0,0.0
6,1025,10.0,0.0,0.0
7,1025,12.0,0.0,0.0
8,1025,14.0,0.0,0.0
9,1025,16.0,0.0,0.0
10,1025,18.0,0.0,0.0
11,1025,20.0,0.0,0.0
12,1025,22.0,0.0,0.0
13,1025,24.0,0.0,0.0
14,1025,26.0,0.0,0.0
15,1025,28.0,0.0,0.0
16,1025,0.0,-2.0,0.0
17,1025,2.0,-2.0,0.0
18,1025,4.0,-2.0,0.0
19,1025,6.0,-2.0,0.0
20,1025,8.0,-2.0,0.0
21,1025,10.0,-2.0,0.0
22,1025,12.0,-2.0,0.0
23,1025,14.0,-2.0,0.0
24,1025,16.0,-2.0,0.0
25,1025,18.0,-2.0,0.0
26,1025,20.0,-2.0,0.0
27,1025,22.0,-2.0,0.0
28,1025,24.0,-2.0,0.0
29,1025,26.0,-2.0,0.0
30,1025,28.0,-2.0,0.0
31,1025,0.0,-4.0,0.0
32,1025,2.0,-4.0,0.0
33,1025,4.0,-4.0,0.0
34,1025,6.0,-4.0,0.0
35,1025,8.0,-4.0,0.0
36,1025,10.0,-4.0,0.0
37,1025,12.0,-4.0,0.0
38,1025,14.0,-4.0,0.0
39,1025,16.0,-4.0,0.0
40,1025,18.0,-4.0,0.0
41,1025,20.0,-4.0,0.0
42,1025,22.0,-4.0,0.0
43,1025,24.0,-4.0,0.0
44,1025,26.0,-4.0,0.0
45,1025,28.0,-4.0,0.0
46,1025,0.0,-6.0,0.0
47,1025,2.0,-6.0,0.0
48,1025,4.0,-6.0,0.0
49,1025,6.0,-6.0,0.0
50,1025,8.0,-6.0,0.0
51,1025,10.0,-6.0,0.0
52,1025,12.0,-6.0,0.0
53,1025,14.0,-6.0,0.0
54,1025,16.0,-6.0,0.0
55,1025,18.0,-6.0,0.0
56,1025,20.0,-6.0,0.0
57,1025,22.0,-6.0,0.0
58,1025,24.0,-6.0,0.0
59,1025,26.0,-6.0,0.0
60,1025,28.0,-6.0,0.0
61,1025,0.0,-8.0,0.0
62,1025,2.0,-8.0,0.0
63,1025,4.0,-8.0,0.0
64,1025,6.0,-8.0,0.0
65,1025,8.0,-8.0,0.0
66,1025,10.0,-8.0,0.0
67,1025,12.0,-8.0,0.0
68,1025,14.0,-8.0,0.0
69,1025,16.0,-8.0,0.0
70,1025,18.0,-8.0,0.0
71,1025,20.0,-8.0,0.0
72,1025,22.0,-8.0,0.0
73,1025,24.0,-8.0,0.0
74,1025,26.0,-8.0,0.0
75,1025,28.0,-8.0,0.0
76,1025,0.0,-10.0,0.0
77,1025,2.0,-10.0,0.0
78,1025,4.0,-10.0,0.0
79,1025,6.0,-10.0,0.0
80,1025,8.0,-10.0,0.0
81,1025,10.0,-10.0,0.0
82,1025,12.0,-10.0,0.0
83,1025,14.0,-10.0,0.0
84,1025,16.0,-10.0,0.0
85,1025,18.0,-10.0,0.0
86,1025,20.0,-10.0,0.0
87,1025,22.0,-10.0,0.0
88,1025,24.0,-10.0,0.0
89,1025,26.0,-10.0,0.0
90,1025,28.0,-10.0,0.0
91,1025,0.0,-12.0,0.0
92,1025,2.0,-12.0,0.0
93,1025,4.0,-12.0,0.0
94,1025,6.0,-12.0,0.0
95,1025,8.0,-12.0,0.0
96,1025,10.0,-12.0,0.0
97,1025,12.0,-12.0,0.0
98,1025,14.0,-12.0,0.0
99,1025,16.0,-12.0,0.0
100,1025,18.0,-12.0,0.0
101,1025,20.0,-12.0,0.0
102,1025,22.0,-12.0,0.0
103,1025,24.0,-12.0,0.0
104,1025,26.0,-12.0,0.0
105,1025,28.0,-12.0,0.0
106,1025,0.0,-14.0,0.0
107,1025,2.0,-14.0,0.0
108,1025,4.0,-14.0,0.0
109,1025,6.0,-14.0,0.0
110,1025,8.0,-14.0,0.0
111,1025,10.0,-14.0,0.0
112,1025,12.0,-14.0,0.0
113,1025,14.0,-14.0,0.0
114,1025,16.0,-14.0,0.0
115,1025,18.0,-14.0,0.0
116,1025,20.0,-14.0,0.0
117,1025,22.0,-14.0,0.0
118,1025,24.0,-14.0,0.0
119,1025,26.0,-14.0,0.0
120,1025,28.0,-14.0,0.0
121,1025,0.0,-16.0,0.0
122,1025,2.0,-16.0,0.0
123,1025,4.0,-16.0,0.0
124,1025,6.0,-16.0,0.0
125,1025,8.0,-16.0,0.0
