1,1514,0.0,0.0,0.0
2,1514,2.0,0.0,0.0
3,1514,4.0,0.0,0.0
4,1514,6.0,0.0,0.0
5,1514,8.0,0.0,0.0
6,1514,10.0,0.0,0.0
7,1514,12.0,0.0,0.0
8,1514,14.0,0.0,0.0
9,1514,16.0,0.0,0.0
10,1514,18.0,0.0,0.0
11,1514,20.0,0.0,0.0
12,1514,22.0,0.0,0.0
13,1514,24.0,0.0,0.0
14,1514,26.0,0.0,0.0
15,1514,28.0,0.0,0.0
16,1514,0.0,-2.0,0.0
17,1514,2.0,-2.0,0.0
18,1514,4.0,-2.0,0.0
19,1514,6.0,-2.0,0.0
20,1514,8.0,-2.0,0.0
21,1514,10.0,-2.0,0.0
22,1514,12.0,-2.0,0.0
23,1514,14.0,-2.0,0.0
24,1514,16.0,-2.0,0.0
25,1514,18.0,-2.0,0.0
26,1514,20.0,-2.0,0.0
27,1514,22.0,-2.0,0.0
28,1514,24.0,-2.0,0.0
29,1514,26.0,-2.0,0.0
30,1514,28.0,-2.0,0.0
31,1514,0.0,-4.0,0.0
32,1514,2.0,-4.0,0.0
33,1514,4.0,-4.0,0.0
34,1514,6.0,-4.0,0.0
35,1514,8.0,-4.0,0.0
36,1514,10.0,-4.0,0.0
37,1514,12.0,-4.0,0.0
38,1514,14.0,-4.0,0.0
39,1514,16.0,-4.0,0.0
40,1514,18.0,-4.0,0.0
41,1514,20.0,-4.0,0.0
42,1514,22.0,-4.0,0.0
43,1514,24.0,-4.0,0.0
44,1514,26.0,-4.0,0.0
45,1514,28.0,-4.0,0.0
46,1514,0.0,-6.0,0.0
47,1514,2.0,-6.0,0.0
48,1514,4.0,-6.0,0.0
49,1514,6.0,-6.0,0.0
50,1514,8.0,-6.0,0.0
51,1514,10.0,-6.0,0.0
52,1514,12.0,-6.0,0.0
53,1514,14.0,-6.0,0.0
54,1514,16.0,-6.0,0.0
55,1514,18.0,-6.0,0.0
56,1514,20.0,-6.0,0.0
57,1514,22.0,-6.0,0.0
58,1514,24.0,-6.0,0.0
59,1514,26.0,-6.0,0.0
60,1514,28.0,-6.0,0.0
61,1514,0.0,-8.0,0.0
62,1514,2.0,-8.0,0.0
63,1514,4.0,-8.0,0.0
64,1514,6.0,-8.0,0.0
65,1514,8.0,-8.0,0.0
66,1514,10.0,-8.0,0.0
67,1514,12.0,-8.0,0.0
68,1514,14.0,-8.0,0.0
69,1514,16.0,-8.0,0.0
70,1514,18.0,-8.0,0.0
71,1514,20.0,-8.0,0.0
72,1514,22.0,-8.0,0.0
73,1514,24.0,-8.0,0.0
74,1514,26.0,-8.0,0.0
75,1514,28.0,-8.0,0.0
76,1514,0.0,-10.0,0.0
77,1514,2.0,-10.0,0.0
78,1514,4.0,-10.0,0.0
79,1514,6.0,-10.0,0.0
80,1514,8.0,-10.0,0.0
81,1514,10.0,-10.0,0.0
82,1514,12.0,-10.0,0.0
83,1514,14.0,-10.0,0.0
84,1514,16.0,-10.0,0.0
85,1514,18.0,-10.0,0.0
86,1514,20.0,-10.0,0.0
87,1514,22.0,-10.0,0.0
88,1514,24.0,-10.0,0.0
89,1514,26.0,-10.0,0.0
90,1514,28.0,-10.0,0.0
91,1514,0.0,-12.0,0.0
92,1514,2.0,-12.0,0.0
93,1514,4.0,-12.0,0.0
94,1514,6.0,-12.0,0.0
95,1514,8.0,-12.0,0.0
96,1514,10.0,-12.0,0.0
97,1514,12.0,-12.0,0.0
98,1514,14.0,-12.0,0.0
99,1514,16.0,-12.0,0.0
100,1514,18.0,-12.0,0.0
101,1514,20.0,-12.0,0.0
102,1514,22.0,-12.0,0.0
103,1514,24.0,-12.0,0.0
104,1514,26.0,-12.0,0.0
105,1514,28.0,-12.0,0.0
106,1514,0.0,-14.0,0.0
107,1514,2.0,-14.0,0.0
108,1514,4.0,-14.0,0.0
109,1514,6.0,-14.0,0.0
110,1514,8.0,-14.0,0.0
111,1514,10.0,-14.0,0.0
112,1514,12.0,-14.0,0.0
113,1514,14.0,-14.0,0.0
114,1514,16.0,-14.0,0.0
115,1514,18.0,-14.0,0.0
116,1514,20.0,-14.0,0.0
117,1514,22.0,-14.0,0.0
118,1514,24.0,-14.0,0.0
119,1514,26.0,-14.0,0.0
120,1514,28.0,-14.0,0.0
121,1514,0.0,-16.0,0.0
122,1514,2.0,-16.0,0.0
123,1514,4.0,-16.0,0.0
124,1514,6.0,-16.0,0.0
125,1514,8.0,-16.0,0.0
126,1514,10.0,-16.0,0.0
127,1514,12.0,-16.0,0.0
128,1514,14.0,-16.0,0.0
129,1514,16.0,-16.0,0.0
130,1514,18.0,-16.0,0.0
131,1514,20.0,-16.0,0.0
132,1514,22.0,-16.0,0.0
133,1514,24.0,-16.0,0.0
134,1514,26.0,-16.0,0.0
135,1514,28.0,-16.0,0.0
136,1514,0.0,-18.0,0.0
137,1514,2.0,-18.0,0.0
138,1514,4.0,-18.0,0.0
139,1514,6.0,-18.0,0.0
140,1514,8.0,-18.0,0.0
141,1514,10.0,-18.0,0.0
142,1514,12.0,-18.0,0.0
143,1514,14.0,-18.0,0.0
144,1514,16.0,-18.0,0.0
145,1514,18.0,-18.0,0.0
146,1514,20.0,-18.0,0.0
147,1514,22.0,-18.0,0.0
148,1514,24.0,-18.0,0.0
149,1514,26.0,-18.0,0.0
150,1514,28.0,-18.0,0.0
